Description,Item category,Received Date,Department Name,College Name
thermo scientic freezer,major-appliances,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
spectra max microplate fluormeter,lab-equipment,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
gray lab-rotator,lab-equipment,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
ge white fridge,major-appliances,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
small black magic chef fridge,major-appliances,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
small black kenmore fridge,major-appliances,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
gray fisher scientific clinical rotator,lab-equipment,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
pharmacia biotech,lab-equipment,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
milipore biopak,lab-equipment,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 silver frame,decor-accessories,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 white desk-like tablecords,electronics-accessories,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 black microwave,major-appliances,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 black paper shredder,other,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 brown shelving unit,furniture-storage,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 dry erase board,decor-accessories,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 gray wall board,decor-accessories,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 graytan paper shredder,other,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 small blue chair,furniture-seating,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 small brown wooden desk,furniture-tables,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 small cream desk,furniture-tables,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 small round gray table,furniture-tables,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 small white box,furniture-storage,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 small wood table,furniture-tables,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 tall beige fridge,major-appliances,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 tall gray coat rack,decor-accessories,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 tall white fan,other,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 tall white fridge,major-appliances,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 tan mailbox,decor-accessories,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 white microwave,major-appliances,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 white projector screen,electronics-av,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 woodcream 5 drawer desk,furniture-tables,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
1 woodlike foldable table,furniture-tables,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
3 blue like chairs  1 green leatherlike chair,furniture-seating,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
3 picturesw frames,decor-accessories,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
4 shelf steel shelving unit,furniture-storage,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
small 2 drawer file cabinet,furniture-storage,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
tall gray cabinet by sandusky,furniture-storage,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
Panasonic Fax Machine,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
Panasonic Fax Machine,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
HP Fax Machine,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
Brother Fax Machine,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
HP OFFICEJET PRINTER,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
Lexmark Laser Printer,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
EPSON STYLUS PRINTER,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
HP LASERJET PRINTER,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
Canon Pixma Printer,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
HP LASERJET PRINTER,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
HP LASERJET PRINTER,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
HP LASERJET PRINTER,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
Brother Laser Printer,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
HP LASERJET PRINTER,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
Canon image 60 Printer,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
HP Color LaserJet Printer,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
Lexmark Laser Printer,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
Brother Laser Printer,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
Canon Pixma Printer,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
XEROX PHASER PRINTER,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
Microtek Scanner,computing,2022/8/1,Psychiatry,Coll Medicine at Chicago - CS
DELL OPTIPLEX 7450 PC,computing,2022/8/1,CBA Student & Academic Svcs,Business Administration
Apple iMac Computer,computing,2022/8/1,CBA Student & Academic Svcs,Business Administration
Lenovo ideaCentre Computer,computing,2022/8/1,CBA Student & Academic Svcs,Business Administration
DELL POWEREDGE T410 PC,computing,2022/8/1,CBA Student & Academic Svcs,Business Administration
Apple iMac Computer,computing,2022/8/1,CBA Student & Academic Svcs,Business Administration
Apple iMac Computer,computing,2022/8/1,CBA Student & Academic Svcs,Business Administration
HP ELITEBOOK 850 LAPTOP,computing,2022/8/1,CBA Student & Academic Svcs,Business Administration
Apple MacBook Air Laptop,computing,2022/8/1,CBA Student & Academic Svcs,Business Administration
Apple MacBook Pro Laptop,computing,2022/8/1,CBA Student & Academic Svcs,Business Administration
Apple MacBook Pro Laptop,computing,2022/8/1,CBA Student & Academic Svcs,Business Administration
HP LASERJET PRINTER,computing,2022/8/1,CBA Student & Academic Svcs,Business Administration
ACER LCD MONITOR,electronics-av,2022/8/1,CBA Student & Academic Svcs,Business Administration
ACER LCD MONITOR,electronics-av,2022/8/1,CBA Student & Academic Svcs,Business Administration
ACER LCD MONITOR,electronics-av,2022/8/1,CBA Student & Academic Svcs,Business Administration
DELL LCD MONITOR,electronics-av,2022/8/1,CBA Student & Academic Svcs,Business Administration
DELL LCD MONITOR,electronics-av,2022/8/1,CBA Student & Academic Svcs,Business Administration
DELL LCD MONITOR,electronics-av,2022/8/1,CBA Student & Academic Svcs,Business Administration
Eppendorf Centrifuge,lab-equipment,2022/8/2,Biological Sciences,Liberal Arts & Sciences
Line Stabilizer,lab-equipment,2022/8/2,Biological Sciences,Liberal Arts & Sciences
Scope-mobile type,lab-equipment,2022/8/2,Biological Sciences,Liberal Arts & Sciences
Bio Rad Vac. Pump,lab-equipment,2022/8/2,Biological Sciences,Liberal Arts & Sciences
GBC Combo,other,2022/8/2,Biological Sciences,Liberal Arts & Sciences
AB Thermo Cycler,lab-equipment,2022/8/2,Biological Sciences,Liberal Arts & Sciences
Ultra Sonic Cleaner,lab-equipment,2022/8/2,Biological Sciences,Liberal Arts & Sciences
Quantum Photometer,lab-equipment,2022/8/2,Biological Sciences,Liberal Arts & Sciences
ultra sonic cleaner,lab-equipment,2022/8/2,Biological Sciences,Liberal Arts & Sciences
Dell Optiplex GX620 PC,computing,2022/8/2,Biological Sciences,Liberal Arts & Sciences
HP PAVILION LAPTOP,computing,2022/8/2,Biological Sciences,Liberal Arts & Sciences
IBM Lenovo ThinkPad,computing,2022/8/2,Biological Sciences,Liberal Arts & Sciences
Lenovo ThinkPad T450,computing,2022/8/2,Biological Sciences,Liberal Arts & Sciences
Dell Latitude Laptop,computing,2022/8/2,Biological Sciences,Liberal Arts & Sciences
Dell Latitude Laptop,computing,2022/8/2,Biological Sciences,Liberal Arts & Sciences
HP Color LaserJet Printer,computing,2022/8/2,Biological Sciences,Liberal Arts & Sciences
HP Color LaserJet Printer,computing,2022/8/2,Biological Sciences,Liberal Arts & Sciences
MPC LCD MONITOR,computing,2022/8/2,Biological Sciences,Liberal Arts & Sciences
Lenovo ThinkCentre PC,computing,2022/8/8,CBA Student & Academic Svcs,Business Administration
Lenovo ThinkCentre PC,computing,2022/8/8,CBA Student & Academic Svcs,Business Administration
HP COMPUTER DESKTOP,computing,2022/8/8,CBA Student & Academic Svcs,Business Administration
Dell Latitude Laptop,computing,2022/8/8,CBA Student & Academic Svcs,Business Administration
1 filing cabinet,furniture-storage,2022/8/8,Admin Info Technology Services,Admin Info Technology Services
1 large whiteboard,decor-accessories,2022/8/8,Admin Info Technology Services,Admin Info Technology Services
1 wheeled table,furniture-tables,2022/8/8,Admin Info Technology Services,Admin Info Technology Services
3 lamps,decor-lighting,2022/8/8,Admin Info Technology Services,Admin Info Technology Services
Rusty table and stool,furniture-seating,2022/8/8,Admin Info Technology Services,Admin Info Technology Services
HP LASERJET PRINTER,computing,2022/8/8,Admin Info Technology Services,Admin Info Technology Services
DELL LCD MONITOR,electronics-av,2022/8/8,Admin Info Technology Services,Admin Info Technology Services
1 metal coat tree stand,other,2022/8/8,Ambulatory Clinical Services,"Healthcare Systems, UIC - MC"
1 wall bracket,decor-accessories,2022/8/8,Ambulatory Clinical Services,"Healthcare Systems, UIC - MC"
2 keyboard trays mount under desktop,computing,2022/8/8,Ambulatory Clinical Services,"Healthcare Systems, UIC - MC"
1 tabletop support leg,furniture-tables,2022/8/8,Ambulatory Clinical Services,"Healthcare Systems, UIC - MC"
3 brackets to hold shelves,decor-accessories,2022/8/8,Ambulatory Clinical Services,"Healthcare Systems, UIC - MC"
PLANAR LCD MONITOR,electronics-av,2022/8/8,Ambulatory Clinical Services,"Healthcare Systems, UIC - MC"
LG LCD TELEVISION,electronics-av,2022/8/8,Ambulatory Clinical Services,"Healthcare Systems, UIC - MC"
Dell Latitude Laptop,computing,2022/8/10,CBA Student & Academic Svcs,Business Administration
Apple MacBook Pro Laptop,computing,2022/8/10,Managerial Studies,Managerial Studies
Apple MacBook Pro Laptop,computing,2022/8/10,Managerial Studies,Managerial Studies
Apple MacBook Pro Laptop,computing,2022/8/10,Managerial Studies,Managerial Studies
Apple MacBook Pro Laptop,computing,2022/8/10,Managerial Studies,Managerial Studies
Apple MacBook Pro Laptop,computing,2022/8/10,Managerial Studies,Managerial Studies
1 standing machine,other,2022/8/10,Student Aff-Counseling Sv,Vice Chanc for Student Affairs
1 table,furniture-tables,2022/8/10,Student Aff-Counseling Sv,Vice Chanc for Student Affairs
1 tall gray cabinet,furniture-storage,2022/8/10,Student Aff-Counseling Sv,Vice Chanc for Student Affairs
7 Chairs 1 cream 1 gray 1 black 2 blue 2 brown.,furniture-seating,2022/8/10,Student Aff-Counseling Sv,Vice Chanc for Student Affairs
ASUS ALL IN ONE COMPUTER,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
Apple MacBook Laptop,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
Apple MacBook Laptop,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
Apple MacBook Laptop,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
Apple MacBook Laptop,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
Apple MacBook Laptop,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
Apple MacBook Laptop,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
Apple MacBook Laptop,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
Apple MacBook Laptop,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
Apple MacBook Laptop,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
Apple MacBook Laptop,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
DELL VOSTRO LAPTOP,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
LENOVO THINKPAD LAPTOP,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
HP PROBOOK LAPTOP,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
HP PROBOOK LAPTOP,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
HP PROBOOK LAPTOP,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
HP PROBOOK LAPTOP,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
Dell Latitude Laptop,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
BROTHER FAX MACHINE,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
HP FAX MACHINE,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
CRESTRON AUDIO SWITCH,other,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
EPSON PRINTER,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
HP LASERJET PRINTER,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
HP LASERJET PRINTER,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
Epson DLP Projector,electronics-av,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
Dell Optiplex 330 Computer,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
Dell Optiplex 380 Computer,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
Dell OptiPlex 990 PC,computing,2022/8/10,"Literature, Cult & Ling Admin",Liberal Arts & Sciences
Dark brown wooden table,furniture-tables,2022/8/10,Gender and Women's Studies,Liberal Arts & Sciences
Yellow sofa w flowers,furniture-seating,2022/8/10,Gender and Women's Studies,Liberal Arts & Sciences
Apple iMac Computer,computing,2022/8/10,Gender and Women's Studies,Liberal Arts & Sciences
Apple iMac Computer,computing,2022/8/10,Gender and Women's Studies,Liberal Arts & Sciences
HP Color LaserJet Printer,computing,2022/8/10,Gender and Women's Studies,Liberal Arts & Sciences
HP LASERJET PRINTER,computing,2022/8/10,Gender and Women's Studies,Liberal Arts & Sciences
Table On Wheels,furniture-tables,2022/8/10,Gender and Women's Studies,Liberal Arts & Sciences
large white ceiling light fixture,decor-lighting,2022/8/10,Gender and Women's Studies,Liberal Arts & Sciences
Focus DLP Projector,electronics-av,2022/8/10,Gender and Women's Studies,Liberal Arts & Sciences
LG LCD MONITOR,electronics-av,2022/8/11,Nursing,"Healthcare Systems, UIC - MC"
HP COMPUTER DESKTOP,computing,2022/8/24,Medicine,Coll Medicine at Chicago - CS
HP LCD MONITOR,electronics-av,2022/8/24,Medicine,Coll Medicine at Chicago - CS
Toshiba DVD Player,other,2022/8/24,Medicine,Coll Medicine at Chicago - CS
Dell Optiplex 780 Computer,computing,2022/8/24,Medicine,Coll Medicine at Chicago - CS
Dell OptiPlex 7440 Computer,computing,2022/8/24,Technology Solutions,Technology Solutions
Dell OptiPlex 7440 Computer,computing,2022/8/24,Technology Solutions,Technology Solutions
Dell OptiPlex 7440 Computer,computing,2022/8/24,Technology Solutions,Technology Solutions
Dell OptiPlex 7440 Computer,computing,2022/8/24,Technology Solutions,Technology Solutions
Dell OptiPlex 7440 Computer,computing,2022/8/24,Technology Solutions,Technology Solutions
Dell OptiPlex 7440 Computer,computing,2022/8/24,Technology Solutions,Technology Solutions
Dell OptiPlex 7440 Computer,computing,2022/8/24,Technology Solutions,Technology Solutions
Dell OptiPlex 7440 Computer,computing,2022/8/24,Technology Solutions,Technology Solutions
Dell OptiPlex 7440 Computer,computing,2022/8/24,Technology Solutions,Technology Solutions
Dell OptiPlex 7440 Computer,computing,2022/8/24,Technology Solutions,Technology Solutions
Dell OptiPlex 7440 Computer,computing,2022/8/24,Technology Solutions,Technology Solutions
Dell OptiPlex 7440 Computer,computing,2022/8/24,Technology Solutions,Technology Solutions
Dell OptiPlex 7440 Computer,computing,2022/8/24,Technology Solutions,Technology Solutions
desk fan holmes,furniture-tables,2022/8/24,Support and General Services,"Healthcare Systems, UIC - MC"
heater holmes,other,2022/8/24,Support and General Services,"Healthcare Systems, UIC - MC"
heater holmes,other,2022/8/24,Support and General Services,"Healthcare Systems, UIC - MC"
desk fan holmes,furniture-tables,2022/8/24,Support and General Services,"Healthcare Systems, UIC - MC"
heater everstar,other,2022/8/24,Support and General Services,"Healthcare Systems, UIC - MC"
metal  chart on wheel,decor-accessories,2022/8/24,Support and General Services,"Healthcare Systems, UIC - MC"
Quaret metal cart on wheel,decor-accessories,2022/8/24,Support and General Services,"Healthcare Systems, UIC - MC"
misc. office supplies folders bins etc.,other,2022/8/24,Support and General Services,"Healthcare Systems, UIC - MC"
white board,decor-accessories,2022/8/24,Support and General Services,"Healthcare Systems, UIC - MC"
Epson DLP Projector,electronics-av,2022/8/24,Support and General Services,"Healthcare Systems, UIC - MC"
ACER LCD MONITOR,electronics-av,2022/8/24,Student Aff-Counseling Sv,Vice Chanc for Student Affairs
ACER LCD MONITOR,electronics-av,2022/8/24,Student Aff-Counseling Sv,Vice Chanc for Student Affairs
