Description,Item Category,Date of Retrieval,Department Name,College Name
Chair,furniture-seating,2022/8/2,University Laboratory HS,Provost & Executive VC
Chair,furniture-seating,2022/8/2,University Laboratory HS,Provost & Executive VC
Chair,furniture-seating,2022/8/2,University Laboratory HS,Provost & Executive VC
Stacking Chair,furniture-seating,2022/8/2,University Laboratory HS,Provost & Executive VC
Stacking Chair,furniture-seating,2022/8/2,University Laboratory HS,Provost & Executive VC
Stacking Chair,furniture-seating,2022/8/2,University Laboratory HS,Provost & Executive VC
Stacking Chair,furniture-seating,2022/8/2,University Laboratory HS,Provost & Executive VC
Stacking Chair,furniture-seating,2022/8/2,University Laboratory HS,Provost & Executive VC
Stacking Chair,furniture-seating,2022/8/2,University Laboratory HS,Provost & Executive VC
Stacking Chair,furniture-seating,2022/8/2,University Laboratory HS,Provost & Executive VC
Stacking Chair,furniture-seating,2022/8/2,University Laboratory HS,Provost & Executive VC
Stacking Chair,furniture-seating,2022/8/2,University Laboratory HS,Provost & Executive VC
Stacking Chair,furniture-seating,2022/8/2,University Laboratory HS,Provost & Executive VC
Stacking Chair,furniture-seating,2022/8/2,University Laboratory HS,Provost & Executive VC
Stacking Chair,furniture-seating,2022/8/2,University Laboratory HS,Provost & Executive VC
Dell Monitor,electronics-av,2022/8/2,Beckman Institute,OVCRI Institutes
DELL OPTIPLEX 7440,computing,2022/8/2,Chemistry,Liberal Arts & Sciences
Apple iPad A1458,computing,2022/8/2,Chemistry,Liberal Arts & Sciences
Dell P2412Hb Monitor,electronics-av,2022/8/2,Chemistry,Liberal Arts & Sciences
APPLE 13 INCH MACBOOK PRO,computing,2022/8/2,Chemistry,Liberal Arts & Sciences
Samsung 24 Monitor,electronics-av,2022/8/2,Chemistry,Liberal Arts & Sciences
HP Z4 Core i7,computing,2022/8/2,Chemistry,Liberal Arts & Sciences
Lenovo ThinkPad T560,computing,2022/8/2,Chemistry,Liberal Arts & Sciences
Rolling Chair,furniture-seating,2022/8/2,Industrial&Enterprise Sys Eng,Grainger Engineering
Rolling Chair,furniture-seating,2022/8/2,Vet Medicine Administration,Veterinary Medicine
Dell monitor,electronics-av,2022/8/2,"Inst for Sustain, Enrgy, & Env",OVCRI Institutes
MacBook Pro A1706,computing,2022/8/2,Health and Kinesiology,Applied Health Sciences
Dell Monitor,electronics-av,2022/8/2,Molecular & Integrative Physl,Liberal Arts & Sciences
Dell U2312HMt Monitor,electronics-av,2022/8/2,Molecular & Integrative Physl,Liberal Arts & Sciences
Dell Monitor,electronics-av,2022/8/2,Molecular & Integrative Physl,Liberal Arts & Sciences
Dell 2407WFPb Monitor,electronics-av,2022/8/2,Molecular & Integrative Physl,Liberal Arts & Sciences
Dell E2210f Monitor,electronics-av,2022/8/2,Molecular & Integrative Physl,Liberal Arts & Sciences
Veridesk,furniture-tables,2022/8/2,Speech & Hearing Science,Applied Health Sciences
Apple iPad A1474,computing,2022/8/2,Air Force Aerospace Studies,Armed Forces
Apple iPad A1474,computing,2022/8/2,Air Force Aerospace Studies,Armed Forces
Apple iPad A1474,computing,2022/8/2,Air Force Aerospace Studies,Armed Forces
Dell Optiplex 9020,computing,2022/8/2,Human Dvlpmt & Family Studies,"Agr, Consumer & Env Sciences"
Round Rolling Table 30,furniture-tables,2022/8/2,Human Dvlpmt & Family Studies,"Agr, Consumer & Env Sciences"
Dell Monitor,electronics-av,2022/8/2,Human Dvlpmt & Family Studies,"Agr, Consumer & Env Sciences"
