Description,Item Category,Date of Retrieval,Department Name,College Name
Wood Office Desk,furniture-tables,2022/8/8,Computer Science,Engineering
Wood Office Desk,furniture-tables,2022/8/8,Computer Science,Engineering
Wood Desk,furniture-tables,2022/8/8,Computer Science,Engineering
Side Rolling Chair,furniture-seating,2023/1/6,School of Public Health Admin,School of Public Health
Side Rolling Chair,furniture-seating,2023/1/6,School of Public Health Admin,School of Public Health
Side Rolling Chair,furniture-seating,2023/1/6,School of Public Health Admin,School of Public Health
Side Rolling Chair,furniture-seating,2023/1/6,School of Public Health Admin,School of Public Health
Table On Wheels,furniture-tables,2023/1/6,School of Public Health Admin,School of Public Health
Office Rolling Chair,furniture-seating,2023/1/6,School of Public Health Admin,School of Public Health
Oval Table,furniture-tables,2023/2/2,Chemistry,Liberal Arts & Sciences
Wooden Bookcase,furniture-storage,2023/2/2,Chemistry,Liberal Arts & Sciences
AOC LCD MONITOR,electronics-av,2023/2/2,Chemistry,Liberal Arts & Sciences
AOC LCD MONITOR,electronics-av,2023/2/2,Chemistry,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2023/2/2,Chemistry,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2023/2/2,Chemistry,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2023/2/2,Chemistry,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2023/2/2,Chemistry,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2023/2/2,Chemistry,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2023/2/2,Chemistry,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2023/2/2,Chemistry,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2023/2/2,Chemistry,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2023/2/2,Chemistry,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2023/2/2,Chemistry,Liberal Arts & Sciences
Wood Top Coffee Table,furniture-tables,2023/2/2,Chemistry,Liberal Arts & Sciences
Round Table,furniture-tables,2023/2/2,Urology,Coll Medicine at Chicago - CS
4 drawer lateral file cabinet,furniture-storage,2023/2/2,Urology,Coll Medicine at Chicago - CS
Wood Bookcase,furniture-storage,2023/2/2,Urology,Coll Medicine at Chicago - CS
Office Rolling Chair,furniture-seating,2023/2/2,Urology,Coll Medicine at Chicago - CS
Stacking Side Chair,furniture-seating,2023/2/2,Urology,Coll Medicine at Chicago - CS
Stacking Side Chair,furniture-seating,2023/2/2,Urology,Coll Medicine at Chicago - CS
Stacking Side Chair,furniture-seating,2023/2/2,Urology,Coll Medicine at Chicago - CS
Stacking Side Chair,furniture-seating,2023/2/2,Urology,Coll Medicine at Chicago - CS
Stacking Side Chair,furniture-seating,2023/2/2,Urology,Coll Medicine at Chicago - CS
Stacking Side Chair,furniture-seating,2023/2/2,Urology,Coll Medicine at Chicago - CS
5 drawer lateral file cabinet,furniture-storage,2023/2/2,Urology,Coll Medicine at Chicago - CS
5 drawer lateral file cabinet,furniture-storage,2023/2/2,Urology,Coll Medicine at Chicago - CS
2 Drawer Lateral File Cabinet,furniture-storage,2023/2/2,Urology,Coll Medicine at Chicago - CS
Office Desk,furniture-tables,2023/2/2,Urology,Coll Medicine at Chicago - CS
Side Sofa Chair,furniture-seating,2023/2/2,School of Public Health Admin,School of Public Health
Sofa Chair,furniture-seating,2023/2/2,School of Public Health Admin,School of Public Health
Sofa Chair,furniture-seating,2023/2/2,School of Public Health Admin,School of Public Health
Sofa Chair,furniture-seating,2023/2/2,School of Public Health Admin,School of Public Health
Sofa Chair,furniture-seating,2023/2/2,School of Public Health Admin,School of Public Health
Sofa Chair,furniture-seating,2023/2/2,School of Public Health Admin,School of Public Health
Sofa Chair,furniture-seating,2023/2/2,School of Public Health Admin,School of Public Health
High Round Table,furniture-tables,2023/2/2,School of Public Health Admin,School of Public Health
WOOD CONFERENCE TABLE,furniture-tables,2023/4/20,Pharmacol & Regenerative Med,Coll Medicine at Chicago - BS
Stacking Side Chair,furniture-seating,2023/4/20,Pharmacol & Regenerative Med,Coll Medicine at Chicago - BS
Stacking Side Chair,furniture-seating,2023/4/20,Pharmacol & Regenerative Med,Coll Medicine at Chicago - BS
Stacking Side Chair,furniture-seating,2023/4/20,Pharmacol & Regenerative Med,Coll Medicine at Chicago - BS
Stacking Side Chair,furniture-seating,2023/4/20,Pharmacol & Regenerative Med,Coll Medicine at Chicago - BS
Stacking Side Chair,furniture-seating,2023/4/20,Pharmacol & Regenerative Med,Coll Medicine at Chicago - BS
Stacking Side Chair,furniture-seating,2023/4/20,Pharmacol & Regenerative Med,Coll Medicine at Chicago - BS
Wood Office Desk,furniture-tables,2023/4/20,Pharmacol & Regenerative Med,Coll Medicine at Chicago - BS
High Round Table,furniture-tables,2023/4/20,Inst for Res on Race & Pub Pol,Inst for Res on Race & Pub Pol
5 Drawer Lateral File Cabinet,furniture-storage,2023/4/20,Kinesiology and Nutrition,Applied Health Sciences
5 Drawer Lateral File Cabinet,furniture-storage,2023/5/12,Facilities Management Admin,Vice Chanc Administrative Svcs
Computer Table,furniture-tables,2023/5/18,Support and General Services,"Healthcare Systems, UIC - MC"
Wood Bookcase,furniture-storage,2023/5/18,Human Development Nursing Sci,Nursing
Drawer Bookcase,furniture-storage,2023/5/18,Human Development Nursing Sci,Nursing
2 Drawer Wood File Cabinet,furniture-storage,2023/5/18,Human Development Nursing Sci,Nursing
Side Chair,furniture-seating,2023/5/18,Human Development Nursing Sci,Nursing
Side Chair,furniture-seating,2023/5/18,Human Development Nursing Sci,Nursing
Side Chair,furniture-seating,2023/5/18,Human Development Nursing Sci,Nursing
Side Chair,furniture-seating,2023/5/18,Human Development Nursing Sci,Nursing
Side Chair,furniture-seating,2023/5/18,Human Development Nursing Sci,Nursing
Storage File Cabinet,furniture-storage,2023/5/18,Human Development Nursing Sci,Nursing
Brown Table,furniture-tables,2023/6/29,Ambulatory Clinical Services,"Healthcare Systems, UIC - MC"
Computer Table,furniture-tables,2023/6/29,Ambulatory Clinical Services,"Healthcare Systems, UIC - MC"
Computer Table,furniture-tables,2023/6/29,Ambulatory Clinical Services,"Healthcare Systems, UIC - MC"
Side Chair,furniture-seating,2023/6/29,Earth & Environmental Sciences,Liberal Arts & Sciences
Side Chair,furniture-seating,2023/6/29,Earth & Environmental Sciences,Liberal Arts & Sciences
Side Chair,furniture-seating,2023/6/29,Earth & Environmental Sciences,Liberal Arts & Sciences
Side Chair,furniture-seating,2023/6/29,Earth & Environmental Sciences,Liberal Arts & Sciences
Side Chair,furniture-seating,2023/6/29,Earth & Environmental Sciences,Liberal Arts & Sciences
Office Rolling Chair,furniture-seating,2023/6/29,Earth & Environmental Sciences,Liberal Arts & Sciences
Computer Table,furniture-tables,2023/6/29,Earth & Environmental Sciences,Liberal Arts & Sciences
Wooden Bookcase,furniture-storage,2023/6/29,Medicine,Coll Medicine at Chicago - CS
Round Wooden Table,furniture-tables,2023/6/29,Medicine,Coll Medicine at Chicago - CS
Wooden Bookcase,furniture-storage,2023/6/29,Medicine,Coll Medicine at Chicago - CS
Wooden Bookcase,furniture-storage,2023/6/29,Medicine,Coll Medicine at Chicago - CS
Office Rolling Chair,furniture-seating,2023/6/29,Medicine,Coll Medicine at Chicago - CS
Table Square,furniture-tables,2023/6/29,Medicine,Coll Medicine at Chicago - CS
Table Square,furniture-tables,2023/6/29,Medicine,Coll Medicine at Chicago - CS
Table Square,furniture-tables,2023/6/29,Medicine,Coll Medicine at Chicago - CS
Table Square,furniture-tables,2023/6/29,Medicine,Coll Medicine at Chicago - CS
Table Square,furniture-tables,2023/6/29,Medicine,Coll Medicine at Chicago - CS
Table Square,furniture-tables,2023/6/29,Medicine,Coll Medicine at Chicago - CS
Office Chair,furniture-seating,2023/6/29,Medicine,Coll Medicine at Chicago - CS
Storage Cabinet,furniture-storage,2024/12/3,Inst for Res on Race & Pub Pol,Inst for Res on Race & Pub Pol
Metal Storage Cabinet,furniture-storage,2023/11/1,Native American Support Progrm,Native American Support Progrm
2 Drawer Lateral Filing Cabinet,furniture-storage,2023/6/29,Physical Therapy,Applied Health Sciences
4 Drawer File Cabinet,furniture-storage,2023/6/29,Physical Therapy,Applied Health Sciences
Wood Office Desk,furniture-tables,2023/9/18,Computer Science,Engineering
Office Chair,furniture-seating,2023/9/18,Computer Science,Engineering
Office Chair,furniture-seating,2023/9/18,Computer Science,Engineering
Office Chair,furniture-seating,2023/9/18,Computer Science,Engineering
Office Chair,furniture-seating,2023/9/18,Computer Science,Engineering
Office Chair,furniture-seating,2023/9/18,Computer Science,Engineering
Wood Office Desk,furniture-tables,2023/9/18,Computer Science,Engineering
Round Table,furniture-tables,2023/10/6,Strategic Mktg & Comm,Strategic Mktg & Comm
Wood Office Desk,furniture-tables,2023/10/6,Strategic Mktg & Comm,Strategic Mktg & Comm
Wood Office Credenza,furniture-storage,2023/10/6,Strategic Mktg & Comm,Strategic Mktg & Comm
Side Chair,furniture-seating,2023/10/6,Strategic Mktg & Comm,Strategic Mktg & Comm
Side Chair,furniture-seating,2023/10/6,Strategic Mktg & Comm,Strategic Mktg & Comm
Side Chair,furniture-seating,2023/10/6,Strategic Mktg & Comm,Strategic Mktg & Comm
Wood Bookcase,furniture-storage,2023/10/6,Strategic Mktg & Comm,Strategic Mktg & Comm
Wooden Bookcase,furniture-storage,2023/10/6,Theatre & Music Administration,"Architecture,Design,& the Arts"
Computer Table,furniture-tables,2023/10/6,Theatre & Music Administration,"Architecture,Design,& the Arts"
Computer Table,furniture-tables,2023/10/6,Theatre & Music Administration,"Architecture,Design,& the Arts"
Computer Table,furniture-tables,2023/10/6,Theatre & Music Administration,"Architecture,Design,& the Arts"
Table On Wheels,furniture-tables,2023/10/6,Theatre & Music Administration,"Architecture,Design,& the Arts"
Computer Table,furniture-tables,2023/10/6,Theatre & Music Administration,"Architecture,Design,& the Arts"
